Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active
74021,227,1,192,08/22/2020,19907,11.403024061887777,0.05023358617571708,34
74070,221,7,192,08/22/2020,15183,14.555753144964763,0.4610419548178884,22
74447,215,2,182,08/22/2020,16391,13.116954426209505,0.12201818070892563,31
73503,215,1,159,08/22/2020,10882,19.75739753721742,0.09189487226612754,55
73005,210,5,152,08/22/2020,9585,21.90923317683881,0.5216484089723527,53
73130,207,2,177,08/22/2020,20604,10.046592894583576,0.09706853038245,28
73115,206,2,170,08/22/2020,21032,9.794598706732598,0.09509319132750095,34
74801,206,1,173,08/22/2020,22194,9.281787870595656,0.045057222672794446,32
74344,205,16,164,08/22/2020,15322,13.379454379323848,1.0442500978984468,25
73142,205,5,173,08/22/2020,14302,14.333659628024053,0.34960145434205003,27
73106,205,2,181,08/22/2020,12683,16.163368288259875,0.1576913979342427,22
74127,203,1,171,08/22/2020,15724,12.910200966675147,0.0635970490969219,31
74114,201,4,174,08/22/2020,16175,12.426584234930447,0.2472952086553323,23
74104,199,1,169,08/22/2020,11454,17.373843198882486,0.08730574471800244,29
74132,196,2,180,08/22/2020,9252,21.184608733246865,0.21616947686986596,14
73020,196,2,161,08/22/2020,23966,8.178252524409581,0.08345155637152633,33
73080,195,3,173,08/22/2020,9436,20.665536244171257,0.317931326833404,19
73169,192,1,140,08/22/2020,2247,85.44726301735648,0.4450378282153983,51
74955,190,1,139,08/22/2020,15122,12.564475598465812,0.06612881893929375,50
73118,184,3,150,08/22/2020,14087,13.061688081209626,0.21296230567189608,31
74851,182,1,61,08/22/2020,10783,16.87841973476769,0.09273856997125104,120
73003,181,3,164,08/22/2020,24147,7.495755166273243,0.12423903590508137,14
74437,178,2,154,08/22/2020,9822,18.122581958867848,0.20362451639177356,22
74820,171,0,151,08/22/2020,31480,5.432020330368488,0.0,20
74743,165,1,149,08/22/2020,8397,19.649874955341193,0.11909015124449208,15
74003,162,8,136,08/22/2020,14194,11.4132732140341,0.5636184303226716,18
74804,161,6,119,08/22/2020,20867,7.715531700771553,0.2875353428858964,36
74035,160,2,53,08/22/2020,4223,37.88775751835188,0.4735969689793985,105
74467,160,5,126,08/22/2020,15147,10.56314781804978,0.3300983693140556,29
73010,152,1,134,08/22/2020,19735,7.702052191537876,0.05067139599695972,17
73111,152,2,122,08/22/2020,11368,13.370865587614356,0.17593244194229415,28
73601,149,0,124,08/22/2020,10238,14.553623754639577,0.0,25
74108,147,0,129,08/22/2020,7612,19.31161324224908,0.0,18
73533,146,1,122,08/22/2020,27582,5.293307229352476,0.036255528968167645,23
73044,134,0,115,08/22/2020,23525,5.6960680127523915,0.0,19
73068,133,1,116,08/22/2020,12458,10.67587092631241,0.08026970621287526,16
74948,133,1,94,08/22/2020,11862,11.212274489967966,0.08430281571404485,38
74848,132,2,99,08/22/2020,7911,16.685627607129312,0.2528125395019593,31
73065,132,1,114,08/22/2020,8404,15.706806282722512,0.11899095668729176,17
74116,131,0,115,08/22/2020,4044,32.39366963402571,0.0,16
74401,130,2,100,08/22/2020,15972,8.13924367643376,0.12521913348359628,28
73116,130,0,117,08/22/2020,9205,14.122759369907659,0.0,13
73507,127,2,113,08/22/2020,22480,5.649466192170819,0.08896797153024912,12
74010,127,4,108,08/22/2020,10669,11.903646077420564,0.37491798669041143,15
74601,126,4,107,08/22/2020,19051,6.6138260458768565,0.20996273161513831,15
73089,126,2,103,08/22/2020,12689,9.929860509102372,0.15761683347781544,21
73025,124,0,116,08/22/2020,13019,9.524541055380597,0.0,8
74953,124,0,79,08/22/2020,12052,10.288748755393295,0.0,45
74126,124,2,110,08/22/2020,10472,11.841100076394193,0.19098548510313215,12
74884,123,1,105,08/22/2020,5731,21.462222997731637,0.17448961786773687,17
74361,121,2,105,08/22/2020,16590,7.293550331525015,0.12055455093429777,14
73047,120,0,113,08/22/2020,5135,23.369036027263874,0.0,7
74868,118,3,84,08/22/2020,13443,8.777802573830247,0.2231644722160232,31
73179,116,1,99,08/22/2020,5299,21.890922815625586,0.1887148518588413,16
73075,114,1,100,08/22/2020,9564,11.919698870765371,0.10455876202425762,13
74023,113,1,86,08/22/2020,11396,9.915759915759915,0.08775008775008775,26
74937,112,1,87,08/22/2020,5492,20.39329934450109,0.1820830298616169,24
74432,109,2,84,08/22/2020,9278,11.748221599482648,0.2155636990730761,23
73945,107,0,104,08/22/2020,2884,37.10124826629681,0.0,3
74462,106,2,42,08/22/2020,7495,14.142761841227486,0.266844563042028,62
74020,106,3,73,08/22/2020,7371,14.380681047347714,0.40700040700040696,30
74346,105,1,92,08/22/2020,7479,14.039310068190934,0.13370771493515177,12
74426,103,2,90,08/22/2020,9688,10.631709331131296,0.20644095788604458,11
73026,100,3,86,08/22/2020,10338,9.673050880247631,0.2901915264074289,11
73128,99,0,86,08/22/2020,4757,20.811435778852218,0.0,13
73149,99,0,84,08/22/2020,5082,19.48051948051948,0.0,15
74604,98,4,81,08/22/2020,12597,7.779630070651742,0.31753592125109154,13
74015,96,0,87,08/22/2020,8834,10.867104369481549,0.0,9
74962,94,2,81,08/22/2020,4490,20.93541202672606,0.44543429844098,11
73078,91,1,82,08/22/2020,10718,8.490389998133981,0.09330098899048331,8
74834,91,4,38,08/22/2020,7712,11.799792531120332,0.5186721991701245,49
74331,89,0,80,08/22/2020,7218,12.330285397617068,0.0,9
73096,89,0,73,08/22/2020,13684,6.503946214557147,0.0,16
73446,88,1,75,08/22/2020,8482,10.374911577458146,0.11789672247111531,12
73134,87,1,77,08/22/2020,5573,15.610981518033375,0.17943656917279743,9
73742,85,0,42,08/22/2020,4384,19.388686131386862,0.0,43
73084,85,1,69,08/22/2020,6878,12.35824367548706,0.14539110206455363,15
73554,81,8,67,08/22/2020,3326,24.353577871316897,2.4052916416115453,6
74352,79,0,67,08/22/2020,6756,11.693309650680876,0.0,12
74120,78,0,71,08/22/2020,4988,15.637530072173215,0.0,7
73750,77,0,65,08/22/2020,7485,10.287241148964597,0.0,12
74434,76,3,61,08/22/2020,8583,8.854712804380751,0.34952813701502966,12
74073,74,1,65,08/22/2020,5459,13.555596263051841,0.18318373328448434,8
74766,73,0,51,08/22/2020,1556,46.91516709511568,0.0,22
74365,72,1,51,08/22/2020,4479,16.07501674480911,0.22326412145568209,20
74965,72,1,61,08/22/2020,5055,14.243323442136498,0.19782393669634024,10
74036,71,3,60,08/22/2020,7378,9.623204120357821,0.4066142586066685,8
74857,71,1,62,08/22/2020,8911,7.967680395017395,0.11222085063404781,8
