Zip,Cases,Deaths,Recovered,ReportDate
74431,19,0,14,08/21/2020
73042,19,1,13,08/21/2020
73098,19,1,18,08/21/2020
73151,19,0,19,08/21/2020
74032,18,0,16,08/21/2020
74028,18,1,14,08/21/2020
74050,18,0,9,08/21/2020
74061,18,0,12,08/21/2020
73543,18,0,15,08/21/2020
73717,18,0,17,08/21/2020
74450,17,0,11,08/21/2020
74854,17,0,16,08/21/2020
73951,17,0,15,08/21/2020
74030,17,0,12,08/21/2020
74726,17,1,14,08/21/2020
74330,17,0,12,08/21/2020
73016,16,0,15,08/21/2020
74736,16,0,16,08/21/2020
74880,16,1,13,08/21/2020
74840,16,0,13,08/21/2020
73852,16,0,4,08/21/2020
74469,16,0,11,08/21/2020
74470,16,0,12,08/21/2020
74452,15,0,7,08/21/2020
74871,15,1,11,08/21/2020
73017,15,0,13,08/21/2020
73560,15,0,14,08/21/2020
74735,15,0,15,08/21/2020
