Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
73092,7,0,7,08/24/2020,973,7.194244604316547,0.0,0,08/24/2020 11:00AM
74543,7,0,3,08/24/2020,388,18.04123711340206,0.0,4,08/24/2020 11:00AM
74724,7,0,6,08/24/2020,399,17.543859649122805,0.0,1,08/24/2020 11:00AM
74748,7,0,5,08/24/2020,659,10.622154779969652,0.0,2,08/24/2020 11:00AM
74829,7,1,3,08/24/2020,1474,4.74898236092266,0.6784260515603798,3,08/24/2020 11:00AM
74833,7,0,4,08/24/2020,834,8.393285371702637,0.0,3,08/24/2020 11:00AM
74720,7,0,6,08/24/2020,471,14.8619957537155,0.0,1,08/24/2020 11:00AM
73067,7,0,7,08/24/2020,2336,2.996575342465753,0.0,0,08/24/2020 11:00AM
73768,7,0,6,08/24/2020,1666,4.201680672268908,0.0,1,08/24/2020 11:00AM
74340,7,0,6,08/24/2020,204,34.313725490196084,0.0,1,08/24/2020 11:00AM
74350,7,0,6,08/24/2020,748,9.358288770053475,0.0,1,08/24/2020 11:00AM
74060,7,0,6,08/24/2020,450,15.555555555555555,0.0,1,08/24/2020 11:00AM
74078,7,0,5,08/24/2020,2329,3.0055817947617003,0.0,2,08/24/2020 11:00AM
74366,7,0,6,08/24/2020,1548,4.521963824289405,0.0,1,08/24/2020 11:00AM
73755,6,0,6,08/24/2020,820,7.317073170731708,0.0,0,08/24/2020 11:00AM
74939,6,0,2,08/24/2020,1164,5.154639175257732,0.0,4,08/24/2020 11:00AM
74557,6,0,6,08/24/2020,497,12.072434607645874,0.0,0,08/24/2020 11:00AM
74827,6,1,4,08/24/2020,351,17.094017094017097,2.849002849002849,1,08/24/2020 11:00AM
73458,6,1,5,08/24/2020,895,6.70391061452514,1.1173184357541899,0,08/24/2020 11:00AM
74759,6,0,3,08/24/2020,1454,4.126547455295736,0.0,3,08/24/2020 11:00AM
73014,6,0,6,08/24/2020,1937,3.097573567372225,0.0,0,08/24/2020 11:00AM
74643,6,0,4,08/24/2020,440,13.636363636363635,0.0,2,08/24/2020 11:00AM
74001,6,0,6,08/24/2020,306,19.607843137254903,0.0,0,08/24/2020 11:00AM
73641,6,0,4,08/24/2020,599,10.016694490818029,0.0,2,08/24/2020 11:00AM
74533,6,0,6,08/24/2020,846,7.092198581560283,0.0,0,08/24/2020 11:00AM
74552,6,0,3,08/24/2020,1183,5.07185122569738,0.0,3,08/24/2020 11:00AM
74472,6,0,2,08/24/2020,723,8.298755186721992,0.0,4,08/24/2020 11:00AM
73730,5,0,1,08/24/2020,753,6.6401062416998675,0.0,4,08/24/2020 11:00AM
73759,5,0,5,08/24/2020,1565,3.1948881789137378,0.0,0,08/24/2020 11:00AM
73547,5,0,4,08/24/2020,2331,2.145002145002145,0.0,1,08/24/2020 11:00AM
73073,5,0,5,08/24/2020,473,10.570824524312897,0.0,0,08/24/2020 11:00AM
74531,5,0,5,08/24/2020,1039,4.8123195380173245,0.0,0,08/24/2020 11:00AM
73842,5,0,4,08/24/2020,549,9.107468123861567,0.0,1,08/24/2020 11:00AM
73481,5,0,4,08/24/2020,1010,4.9504950495049505,0.0,1,08/24/2020 11:00AM
74422,5,0,5,08/24/2020,820,6.097560975609756,0.0,0,08/24/2020 11:00AM
74569,5,1,3,08/24/2020,1288,3.8819875776397517,0.7763975155279502,1,08/24/2020 11:00AM
73931,5,0,5,08/24/2020,416,12.01923076923077,0.0,0,08/24/2020 11:00AM
73858,5,0,5,08/24/2020,1554,3.2175032175032174,0.0,0,08/24/2020 11:00AM
74945,5,0,4,08/24/2020,447,11.185682326621924,0.0,1,08/24/2020 11:00AM
74521,5,0,5,08/24/2020,191,26.17801047120419,0.0,0,08/24/2020 11:00AM
73859,5,0,4,08/24/2020,1384,3.61271676300578,0.0,1,08/24/2020 11:00AM
73734,5,0,3,08/24/2020,817,6.119951040391677,0.0,2,08/24/2020 11:00AM
73024,5,0,4,08/24/2020,785,6.369426751592357,0.0,1,08/24/2020 11:00AM
74428,5,0,3,08/24/2020,1307,3.8255547054322876,0.0,2,08/24/2020 11:00AM
73838,5,1,3,08/24/2020,345,14.492753623188406,2.898550724637681,1,08/24/2020 11:00AM
74083,5,0,5,08/24/2020,1029,4.859086491739553,0.0,0,08/24/2020 11:00AM
74034,4,0,4,08/24/2020,122,32.786885245901644,0.0,0,08/24/2020 11:00AM
73944,4,0,4,08/24/2020,531,7.532956685499058,0.0,0,08/24/2020 11:00AM
73853,4,0,4,08/24/2020,657,6.0882800608828,0.0,0,08/24/2020 11:00AM
74457,4,0,3,08/24/2020,463,8.639308855291578,0.0,1,08/24/2020 11:00AM
73027,4,0,2,08/24/2020,1210,3.3057851239669422,0.0,2,08/24/2020 11:00AM
73766,4,0,4,08/24/2020,1302,3.0721966205837172,0.0,0,08/24/2020 11:00AM
74560,4,0,3,08/24/2020,608,6.578947368421052,0.0,1,08/24/2020 11:00AM
74839,4,0,2,08/24/2020,777,5.148005148005148,0.0,2,08/24/2020 11:00AM
73744,4,0,2,08/24/2020,158,25.31645569620253,0.0,2,08/24/2020 11:00AM
74333,4,0,1,08/24/2020,1129,3.5429583702391496,0.0,3,08/24/2020 11:00AM
73549,4,0,4,08/24/2020,212,18.867924528301884,0.0,0,08/24/2020 11:00AM
73639,4,0,2,08/24/2020,588,6.802721088435374,0.0,2,08/24/2020 11:00AM
74875,4,0,3,08/24/2020,1268,3.1545741324921135,0.0,1,08/24/2020 11:00AM
73938,4,0,4,08/24/2020,756,5.291005291005291,0.0,0,08/24/2020 11:00AM
73625,4,0,3,08/24/2020,653,6.1255742725880555,0.0,1,08/24/2020 11:00AM
74722,4,0,3,08/24/2020,272,14.705882352941176,0.0,1,08/24/2020 11:00AM
